Package Name,Reviewer Name,Review,Rating
com.ioanalazar.bdays,Rahul Kotkar,This is Really Wonderful Helpful App.. It Helps by reminding BIRTHDAYS of Family members and Friends👌🏻,4
com.ioanalazar.bdays,Kishor Balmiki,Poor app.. No reminder.. What is the uses of this app. If we didn't get notifications..,1
com.ioanalazar.bdays,Catu Dasa,This was the first birthday reminder that I tried and it was already satifying my needs. So for me no need to try others (for now). From time to time an add shows up but I think it is just ok.,5
com.ioanalazar.bdays,mithun pawde,Perfect,5
com.ioanalazar.bdays,Danush Hun,Don't waste your time on this app. It's a scam. No way to backup or restore.,1
com.ioanalazar.bdays,Loery (Neicey),"it's a very, very, cool and nice app to have in your phone.🥰😍🥰😍",4
com.ioanalazar.bdays,Amdora Gamer,Nice app appreciate it,5
com.ioanalazar.bdays,Kavya,"it's a really nice app!!! it helps me track the age, birth date,how many days are remaining for the birthday and I can even keep the person's pic. this the best app for tracking birthday 😍😍loved it💗💗",5
com.ioanalazar.bdays,Paul Doody,Pretty much what I was looking for (in the absence of Google Calendar showing ages). Would give it the full 5 stars if it didn't limit 20 upcoming birthdays - I'd like to see all 23 of mine,4
com.ioanalazar.bdays,Delia van Engel,Works great on my phone but not so great for my tablet. That's why the 1 star !,1
com.ioanalazar.bdays,Patrick Cassidy,very good,5
com.ioanalazar.bdays,Courtney Burbidge,this love,5
com.ioanalazar.bdays,Michelle Quitaleg,"As a person who doesn't remember dates, this app will help me to remember my friend's birthday. Just a suggestion, maybe you could add themes of the app to choose from. Also, it's nice if we could edit the color of the labels too.",4
com.ioanalazar.bdays,Ruth C.F. Goodman,It's good so far I like it. Just starting to load birthdays on it,5
com.ioanalazar.bdays,Rajat Singh Negi,"Please can u make the photos appear bigger, at least Half the screen. I'd like to see the big photo of the person I selected. [Edit] Thank you! I like the new update...",5
com.ioanalazar.bdays,Debasis Chakraborty,So nice we set our friends and family members birthday and you send birthday wishes and cards . I like it,5
com.ioanalazar.bdays,Ray Picard,This is a alternative of Birday - Birthday Manager i downloaded this becuse of my brother user it is downloaded so can't download this app i have a google pixel 4a.,3
com.ioanalazar.bdays,shoban nath,No use of this app Cannot take bday from facebook,1
com.ioanalazar.bdays,Raj Goyal,very good,5
com.ioanalazar.bdays,Lario Samuels,Looks good 😊 Lario,3
com.ioanalazar.bdays,Eliza Prigge,dis app needs to be used more,5
com.ioanalazar.bdays,Sonya Sackash,It would be nice to have the the option to share with this app with family.,1
com.ioanalazar.bdays,Nitin Goenka,Imports birthdays but not Anniversary. Uninstalling.,3
com.ioanalazar.bdays,Rashmi Ranjan,"It's a great app. UI is love. Just a request, can you add a success alert after the import success? Something like, x no of items imported successfully and the app redirect to homepage?",5
com.ioanalazar.bdays,Noya Pathan,Amazing app but pls add an option like my birthday,5
com.ioanalazar.bdays,Reginald M. Seh,"I think it's a great app from my experience so far. However, I am yet to observe it further.",4
com.ioanalazar.bdays,Milica Petrovački,Okk je ali me nervira jer me nikad ne obavesti kad postoji neki rođendan😵,4
com.ioanalazar.bdays,Zara,This app is nice but it should be improved #🖤,3
com.ioanalazar.bdays,Nadzirah Said,Easy. Simple. Amazing app.,4
com.ioanalazar.bdays,Penny May,It good to buy gas and other stuff there,5
com.ioanalazar.bdays,Sandrah Lamulira,"Luv the sateup🥰 n it's not that complicated, this will help a lot as I tend to forget pple's birthday's a lot 😅",4
com.ioanalazar.bdays,Patricia Sargent,ALLI WANNTED TO DO WAS SEND a birthday 🎂 with. Wishes,1
com.ioanalazar.bdays,Tatenda Madzimure,This is an amazing app.🥰 All the other apps didn't work and they reminded me too late. 😭😭😠 But this app has a reminder for when their birthdays were and it can tell me what to get her whether to call and wish a birthday or send a card This app is awesome 🎉🎉🎊♥️🥰,5
com.ioanalazar.bdays,Michelle Prasetyo,"Love the interface, and all the features I wanted on a birthday app are available and free.",5
com.ioanalazar.bdays,Shyam Madhav,Amazing app. If you want to upload a large set of birthdays to ur reminder u can go for this app. It has clear instructions on what format to add ur excel data list of birthdays and it's very easy and quick,5
com.ioanalazar.bdays,Kay Pauline Lluch,It show one birthday 😣😣😣,2
com.ioanalazar.bdays,Vincent Jadraque,Doesn't work. Could be a scam.,1
com.ioanalazar.bdays,Las Vegas,It doesn't hv option to import from FB,1
com.ioanalazar.bdays,Aleks Mladenovic,The best birthday app I tried!,5
com.ioanalazar.bdays,TimelessX,Good to keep track of bdays in case you dont realize what date it is,5
com.ioanalazar.bdays,Curtis Whitman,"Love the app, working well thus far.",5
com.ioanalazar.bdays,Ron Pergolini,Horrible,1
com.ioanalazar.bdays,sangeda NUPUR,Everyone seeing this....download this app. Its great....reminds me of everyones birthday just in the right time. This app is perfect👌,5
com.ioanalazar.bdays,alisha chaudhary,Excellent,5
com.ioanalazar.bdays,Sovanmontey Thoul,Great app and it's really good I can put a pic in each reminder but I can't crop the pic but it's pretty good tho,4
com.ioanalazar.bdays,Ray Menzies,wicked,5
com.ioanalazar.bdays,Candice Cook,I LOVE this app. I love the way it's set up ... __ days til ___'s birthday. Ill never forget another birthday. I have the premium and it is SO worth it!,5
com.ioanalazar.bdays,Komal Talati,Cant add dates and contacts manually and need to add phone number manually which is tidious,1
com.ioanalazar.bdays,Rohit Sheth,Good,3
com.ioanalazar.bdays,salim benhouhou,The Best birthday app i ever used,5
com.ioanalazar.bdays,Janey Barrow,"I love the interface and look of this app, very easy to use. I esp like the calendar view. It would be nice to scroll beyond the current month in the list of birthdays tho. Also the import function imported all my contacts, not just those with a birthday.",5
com.ioanalazar.bdays,Anna Shtandenko,Best app for tracking birthdays,5
com.ioanalazar.bdays,cleo lazar,Great and useful app!,5
com.ioanalazar.bdays,Ruby Chouhan,I like it 😊,5
com.ioanalazar.bdays,Laurentiu Ene,For people with fish memory like me it's THE app!,5
com.ioanalazar.bdays,Stefan Liviu Pascu,Exactly what I needed!,5
com.ioanalazar.bdays,Gabriel Andrei,Really great. Exactly what I was looking for,5
